FID;Diam_pulg;Diam_mm;Material;Fecha_mant;Fecha_inst;Estado;Longitud;Latitud1;Longitud1;Latitud2;Longitud2
0;5;25;PVC;30/3/2023;21/7/2000;Bueno;14.012;504737.772;1067373.210;504730.547;1067385.214
1;10;75;PEAD;26/5/2023;21/7/2000;Bueno;30.588;505060.049;1066977.492;505039.575;1067000.212
2;10;75;PVC;15/5/2023;21/7/2000;Bueno;268.514;505034.610;1067004.211;504790.268;1067100.877
3;10;75;PEAD;21/5/2020;21/7/2000;Regular;99.561;505068.614;1067572.841;505004.704;1067498.584
4;7;38;PVC;31/5/2021;21/7/2000;Bueno;15.245;504986.884;1067481.467;504974.422;1067490.245
5;8;50;PVC;24/4/2024;21/7/2000;Bueno;94.397;504289.064;1067216.766;504301.856;1067307.032
6;8;50;PVC;24/12/2024;21/7/2000;Bueno;77.642;504289.064;1067216.766;504273.026;1067157.338
7;8;50;PVC;30/12/2021;21/7/2000;Bueno;79.913;504329.887;1067148.077;504289.064;1067216.766
8;4;18;PVC;2/12/2020;21/7/2000;Bueno;42.121;504070.671;1067140.879;504028.673;1067137.725
9;3;12;PVC;20/2/2023;21/7/2000;Bueno;34.569;504105.140;1067143.467;504070.671;1067140.879
10;8;50;PEAD;21/5/2020;21/7/2000;Bueno;369.969;504365.371;1067099.429;504717.837;1067081.327
11;10;75;PEAD;22/8/2022;21/7/2000;Regular;87.124;504719.507;1067078.131;504784.443;1067102.443
12;10;75;PEAD;15/1/2024;21/7/2000;Regular;118.59;505143.590;1066948.179;505040.281;1067001.094
13;8;50;PEAD;2/7/2024;21/7/2000;Bueno;17.051;504368.223;1067082.620;504365.371;1067099.429
14;5;25;PVC;5/9/2024;21/7/2000;Bueno;503.788;504947.840;1067472.268;504507.265;1067273.418
15;5;25;PVC;5/6/2023;21/7/2000;Bueno;242.336;504737.772;1067373.210;504522.922;1067268.216
16;5;25;PVC;13/6/2024;13/8/2002;Bueno;11.652;504107.816;1067154.806;504105.140;1067143.467
18;8;50;PVC;13/10/2023;13/8/2002;Bueno;11.879;504717.889;1067064.224;504719.151;1067076.035
19;5;25;PVC;18/2/2020;13/8/2002;Regular;194.607;504545.858;1067105.826;504725.571;1067063.404
20;8;50;PVC;2/6/2022;13/8/2002;Regular;169.16;504399.352;1067189.317;504271.209;1067082.697
21;8;50;PVC;11/8/2021;13/8/2002;Bueno;183.958;504271.209;1067082.697;504107.816;1067154.806
22;8;50;PVC;25/10/2023;13/8/2002;Bueno;73.508;504719.151;1067076.035;504785.680;1067101.054
23;5;25;PVC;23/2/2021;13/8/2002;Bueno;35.737;504028.673;1067137.725;503993.040;1067135.049
24;10;75;PEAD;10/11/2023;13/8/2002;Bueno;167.032;504420.028;1067185.113;504290.105;1067084.011
25;0;0;PVC;12/2/2021;13/8/2002;Bueno;16.482;504376.658;1067099.149;504379.677;1067082.947
26;10;75;PEAD;22/5/2024;13/8/2002;Regular;476.386;504271.209;1067082.697;504725.668;1067077.473
27;8;50;PVC;8/4/2020;13/8/2002;Regular;169.779;504204.042;1067363.517;504340.837;1067297.849
28;8;50;PVC;16/4/2020;13/8/2002;Bueno;12.247;504737.772;1067373.210;504749.103;1067369.876
29;0;0;PVC;6/1/2021;13/8/2002;Bueno;15.957;504926.090;1067466.567;504929.587;1067450.999
30;5;25;PVC;5/5/2020;13/8/2002;Bueno;59.418;504986.886;1067481.466;504935.938;1067454.426
31;8;50;PVC;16/8/2021;9/10/2002;Bueno;1021.646;505460.488;1068002.663;504986.886;1067481.466
32;8;50;PVC;4/11/2022;9/10/2002;Regular;478.774;504790.596;1067105.119;504986.886;1067481.466
33;8;50;PVC;15/2/2022;9/10/2002;Bueno;281.111;504785.455;1067105.119;504749.103;1067369.876
34;5;25;PVC;28/6/2023;9/10/2002;Bueno;103.111;504107.816;1067154.806;504007.636;1067177.307
35;0;0;PVC;9/2/2024;9/10/2002;Bueno;6.563;505068.407;1067575.175;505070.797;1067573.693
36;8;50;PVC;9/5/2022;9/10/2002;Regular;278.643;504100.190;1067119.698;504368.223;1067082.620
37;8;50;PVC;18/9/2024;9/10/2002;Bueno;97.013;504717.837;1067081.327;504730.081;1067080.019
